epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,59.3167,0.51325,0.58563,0.46598,0.81573,0.99057,1,0.995,0.86163,0.99057,1,0.995,0.81468,0.72035,1.0035,0.44897,0.84248,0.00122387,0.00122387,0.00122387
31,61.2525,0.50613,0.53914,0.44518,0.79997,0.9925,0.99944,0.995,0.88405,0.9925,0.99944,0.995,0.80874,0.72154,1.12559,0.43893,0.84633,0.00121679,0.00121679,0.00121679
32,63.198,0.49463,0.54949,0.44038,0.80843,0.99185,1,0.995,0.86781,0.99185,1,0.995,0.82933,0.73232,1.05592,0.43266,0.84577,0.00120972,0.00120972,0.00120972
33,65.05,0.52965,0.55488,0.46069,0.81424,0.99066,1,0.995,0.89632,0.99066,1,0.995,0.81965,0.74153,1.09993,0.44378,0.84808,0.00120265,0.00120265,0.00120265
34,66.9669,0.5251,0.57883,0.45641,0.8061,0.98888,0.99899,0.995,0.87924,0.98888,0.99899,0.995,0.80827,0.73828,1.03306,0.47081,0.85024,0.00119557,0.00119557,0.00119557
35,68.8222,0.50445,0.55498,0.44546,0.80859,0.99598,1,0.995,0.88161,0.99598,1,0.995,0.81248,0.73336,1.08247,0.43421,0.8493,0.0011885,0.0011885,0.0011885
36,70.7249,0.52446,0.55555,0.44638,0.80884,0.99767,1,0.995,0.86326,0.99767,1,0.995,0.80308,0.75188,1.15433,0.43316,0.85294,0.00118143,0.00118143,0.00118143
37,72.6601,0.50226,0.5407,0.43954,0.80705,0.99577,1,0.995,0.86415,0.99577,1,0.995,0.81326,0.75714,1.20923,0.42238,0.8541,0.00117435,0.00117435,0.00117435
38,74.6567,0.49968,0.55462,0.42637,0.8061,0.99238,1,0.995,0.88907,0.99238,1,0.995,0.80283,0.71211,1.24297,0.42673,0.84419,0.00116728,0.00116728,0.00116728
39,76.7064,0.47782,0.52033,0.41824,0.79221,0.9937,1,0.995,0.87473,0.9937,1,0.995,0.81391,0.7344,1.32268,0.40578,0.84936,0.00116021,0.00116021,0.00116021
40,78.7493,0.47265,0.5266,0.4091,0.80491,0.99593,1,0.995,0.8864,0.99593,1,0.995,0.81028,0.72115,1.31018,0.39335,0.85066,0.00115313,0.00115313,0.00115313
41,80.8101,0.49298,0.58069,0.42277,0.80544,0.99263,1,0.995,0.88562,0.99263,1,0.995,0.81204,0.74805,1.37164,0.4151,0.85666,0.00114606,0.00114606,0.00114606
42,82.8259,0.48814,0.53675,0.42755,0.80241,0.98891,1,0.995,0.88949,0.98891,1,0.995,0.80755,0.70348,1.10896,0.38969,0.84557,0.00113898,0.00113898,0.00113898
43,84.8147,0.47182,0.54279,0.41194,0.79619,0.99497,1,0.995,0.88956,0.99497,1,0.995,0.8129,0.70564,1.12044,0.37964,0.84859,0.00113191,0.00113191,0.00113191
44,86.8455,0.45476,0.53286,0.39719,0.79816,0.98962,1,0.995,0.88543,0.98962,1,0.995,0.81108,0.72723,1.13512,0.46569,0.85382,0.00112484,0.00112484,0.00112484
45,88.856,0.47852,0.58036,0.41448,0.80118,0.99016,1,0.995,0.88611,0.99016,1,0.995,0.81699,0.73201,1.09172,0.43234,0.85145,0.00111776,0.00111776,0.00111776
46,90.8251,0.46357,0.54028,0.40053,0.805,0.99178,1,0.995,0.88005,0.99178,1,0.995,0.80392,0.71271,1.11973,0.40905,0.84457,0.00111069,0.00111069,0.00111069
